INSERT INTO Course (CourseId, Department, Faculty, University) VALUES
(1056, 'Film', 'Arts', 'NorQuest College'),
(1057, 'Drama', 'Arts', 'NorQuest College'),
(1058, 'Biology', 'Science', 'University of Calgary'),
(1059, 'History', 'Arts', 'Bow Valley University'),
(1060, 'Psychology', 'Science', 'Bow Valley University'),
(1061, 'Finance', 'Business', 'SAIT'),
(1062, 'Biology', 'Science', 'NAIT'),
(1063, 'Law', 'Law', 'University of Alberta'),
(1064, 'Psychology', 'Science', 'University of Calgary'),
(1065, 'Accounting', 'Business', 'Mount Royal University'),
(1066, 'Biology', 'Science', 'Athabasca University'),
(1067, 'Law', 'Law', 'MacEwan University'),
(1068, 'History', 'Arts', 'Athabasca University'),
(1069, 'English', 'Arts', 'Bow Valley University'),
(1070, 'Economics', 'Business', 'University of Calgary'),
(1071, 'Finance', 'Business', 'NAIT'),
(1072, 'Biology', 'Science', 'Bow Valley University'),
(1073, 'Fine Arts', 'Arts', 'Bow Valley University'),
(1074, 'Economics', 'Business', 'SAIT'),
(1075, 'Computer Science', 'Science', 'NorQuest College'),
(1076, 'Fine Arts', 'Arts', 'SAIT'),
(1077, 'Finance', 'Business', 'Mount Royal University'),
(1078, 'Economics', 'Business', 'NorQuest College'),
(1079, 'Finance', 'Business', 'MacEwan University'),
(1080, 'Math', 'Science', 'University of Calgary'),
(1081, 'Chemistry', 'Science', 'NAIT'),
(1082, 'Psychology', 'Science', 'Mount Royal University'),
(1083, 'Film', 'Arts', 'University of Calgary'),
(1084, 'Chemistry', 'Science', 'SAIT'),
(1085, 'Economics', 'Business', 'University of Alberta'),
(1086, 'History', 'Arts', 'MacEwan University'),
(1087, 'Music', 'Arts', 'SAIT'),
(1088, 'History', 'Arts', 'MacEwan University'),
(1089, 'History', 'Arts', 'University of Calgary'),
(1090, 'Accounting', 'Business', 'Athabasca University'),
(1091, 'Accounting', 'Business', 'NAIT'),
(1092, 'History', 'Arts', 'University of Calgary'),
(1093, 'Computer Science', 'Science', 'NorQuest College'),
(1094, 'Economics', 'Business', 'Mount Royal University'),
(1095, 'Drama', 'Arts', 'University of Alberta'),
(1096, 'Drama', 'Arts', 'University of Alberta'),
(1097, 'Fine Arts', 'Arts', 'University of Calgary'),
(1098, 'Law', 'Law', 'NAIT'),
(1099, 'History', 'Arts', 'MacEwan University'),
(1100, 'Music', 'Arts', 'University of Calgary'),
(1101, 'Chemistry', 'Science', 'Bow Valley University'),
(1102, 'Law', 'Law', 'Bow Valley University'),
(1103, 'Chemistry', 'Science', 'Bow Valley University'),
(1104, 'Computer Science', 'Science', 'NAIT'),
(1105, 'History', 'Arts', 'Bow Valley University'),
(1106, 'Psychology', 'Science', 'University of Alberta'),
(1107, 'History', 'Arts', 'NorQuest College'),
(1108, 'Music', 'Arts', 'SAIT'),
(1109, 'Accounting', 'Business', 'Athabasca University'),
(1110, 'Computer Science', 'Science', 'MacEwan University'),
(1111, 'History', 'Arts', 'Mount Royal University'),
(1112, 'Computer Science', 'Science', 'Bow Valley University'),
(1113, 'Psychology', 'Science', 'Athabasca University'),
(1114, 'Drama', 'Arts', 'University of Alberta'),
(1115, 'Law', 'Law', 'SAIT'),
(1116, 'Law', 'Law', 'University of Calgary'),
(1117, 'Biology', 'Science', 'NAIT'),
(1118, 'Music', 'Arts', 'MacEwan University'),
(1119, 'History', 'Arts', 'NAIT'),
(1120, 'Drama', 'Arts', 'SAIT'),
(1121, 'Biology', 'Science', 'SAIT'),
(1122, 'Film', 'Arts', 'Athabasca University'),
(1123, 'Accounting', 'Business', 'University of Alberta'),
(1124, 'Chemistry', 'Science', 'NorQuest College'),
(1125, 'Psychology', 'Science', 'Athabasca University'),
(1126, 'Drama', 'Arts', 'University of Calgary'),
(1127, 'Biology', 'Science', 'Mount Royal University'),
(1128, 'Psychology', 'Science', 'MacEwan University'),
(1129, 'Film', 'Arts', 'SAIT'),
(1130, 'Math', 'Science', 'NorQuest College'),
(1131, 'Law', 'Law', 'NorQuest College'),
(1132, 'English', 'Arts', 'Bow Valley University'),
(1133, 'Law', 'Law', 'SAIT'),
(1134, 'Drama', 'Arts', 'Mount Royal University'),
(1135, 'Economics', 'Business', 'SAIT'),
(1136, 'Law', 'Law', 'SAIT'),
(1137, 'Finance', 'Business', 'Bow Valley University'),
(1138, 'Law', 'Law', 'University of Alberta'),
(1139, 'Drama', 'Arts', 'MacEwan University'),
(1140, 'Fine Arts', 'Arts', 'SAIT'),
(1141, 'Law', 'Law', 'Athabasca University'),
(1142, 'Finance', 'Business', 'MacEwan University'),
(1143, 'Economics', 'Business', 'SAIT'),
(1144, 'Finance', 'Business', 'University of Alberta'),
(1145, 'Chemistry', 'Science', 'MacEwan University'),
(1146, 'Music', 'Arts', 'NorQuest College'),
(1147, 'Physics', 'Science', 'NorQuest College'),
(1148, 'English', 'Arts', 'University of Calgary'),
(1149, 'Accounting', 'Business', 'SAIT'),
(1150, 'Fine Arts', 'Arts', 'Athabasca University'),
(1151, 'Physics', 'Science', 'University of Calgary'),
(1152, 'Drama', 'Arts', 'SAIT'),
(1153, 'Psychology', 'Science', 'University of Alberta'),
(1154, 'History', 'Arts', 'SAIT'),
(1155, 'Fine Arts', 'Arts', 'University of Calgary'),
(1156, 'Music', 'Arts', 'SAIT'),
(1157, 'History', 'Arts', 'NAIT'),
(1158, 'Finance', 'Business', 'University of Calgary'),
(1159, 'Physics', 'Science', 'University of Alberta'),
(1160, 'Drama', 'Arts', 'NAIT'),
(1161, 'Fine Arts', 'Arts', 'NAIT'),
(1162, 'Psychology', 'Science', 'SAIT'),
(1163, 'Finance', 'Business', 'University of Alberta'),
(1164, 'Accounting', 'Business', 'NorQuest College'),
(1165, 'Math', 'Science', 'Mount Royal University'),
(1166, 'Music', 'Arts', 'NorQuest College'),
(1167, 'Drama', 'Arts', 'NAIT'),
(1168, 'History', 'Arts', 'Athabasca University'),
(1169, 'Finance', 'Business', 'MacEwan University'),
(1170, 'Music', 'Arts', 'NAIT'),
(1171, 'Chemistry', 'Science', 'NAIT'),
(1172, 'History', 'Arts', 'University of Alberta'),
(1173, 'English', 'Arts', 'Athabasca University'),
(1174, 'Law', 'Law', 'Mount Royal University'),
(1175, 'Fine Arts', 'Arts', 'Athabasca University'),
(1176, 'Music', 'Arts', 'Mount Royal University'),
(1177, 'Law', 'Law', 'Bow Valley University'),
(1178, 'Economics', 'Business', 'Bow Valley University'),
(1179, 'Math', 'Science', 'Mount Royal University'),
(1180, 'Film', 'Arts', 'Bow Valley University'),
(1181, 'Computer Science', 'Science', 'NAIT'),
(1182, 'Film', 'Arts', 'University of Alberta'),
(1183, 'Accounting', 'Business', 'Athabasca University'),
(1184, 'Drama', 'Arts', 'Bow Valley University'),
(1185, 'Fine Arts', 'Arts', 'SAIT'),
(1186, 'Economics', 'Business', 'Athabasca University'),
(1187, 'Computer Science', 'Science', 'MacEwan University'),
(1188, 'Drama', 'Arts', 'NorQuest College'),
(1189, 'Chemistry', 'Science', 'University of Alberta'),
(1190, 'Chemistry', 'Science', 'NAIT'),
(1191, 'Film', 'Arts', 'MacEwan University'),
(1192, 'Chemistry', 'Science', 'Athabasca University'),
(1193, 'Physics', 'Science', 'NAIT'),
(1194, 'Film', 'Arts', 'University of Alberta'),
(1195, 'Computer Science', 'Science', 'NorQuest College'),
(1196, 'Chemistry', 'Science', 'Athabasca University'),
(1197, 'Economics', 'Business', 'University of Calgary'),
(1198, 'Law', 'Law', 'MacEwan University'),
(1199, 'Drama', 'Arts', 'Athabasca University'),
(1200, 'Math', 'Science', 'Mount Royal University'),
(1201, 'Economics', 'Business', 'NorQuest College'),
(1202, 'Math', 'Science', 'NorQuest College'),
(1203, 'Economics', 'Business', 'Athabasca University'),
(1204, 'History', 'Arts', 'SAIT'),
(1205, 'Computer Science', 'Science', 'NorQuest College'),
(1206, 'Chemistry', 'Science', 'NorQuest College'),
(1207, 'Computer Science', 'Science', 'University of Alberta'),
(1208, 'English', 'Arts', 'NorQuest College'),
(1209, 'English', 'Arts', 'Mount Royal University'),
(1210, 'Biology', 'Science', 'MacEwan University'),
(1211, 'Music', 'Arts', 'NAIT'),
(1212, 'Chemistry', 'Science', 'MacEwan University'),
(1213, 'Chemistry', 'Science', 'University of Alberta'),
(1214, 'Accounting', 'Business', 'Bow Valley University'),
(1215, 'Physics', 'Science', 'University of Calgary'),
(1216, 'English', 'Arts', 'University of Alberta'),
(1217, 'Physics', 'Science', 'NorQuest College'),
(1218, 'Math', 'Science', 'SAIT'),
(1219, 'Accounting', 'Business', 'SAIT'),
(1220, 'Music', 'Arts', 'Bow Valley University'),
(1221, 'Physics', 'Science', 'University of Calgary'),
(1222, 'Drama', 'Arts', 'MacEwan University'),
(1223, 'Computer Science', 'Science', 'NorQuest College'),
(1224, 'History', 'Arts', 'Athabasca University'),
(1225, 'Economics', 'Business', 'University of Calgary'),
(1226, 'Physics', 'Science', 'Athabasca University'),
(1227, 'Drama', 'Arts', 'Athabasca University'),
(1228, 'Computer Science', 'Science', 'Mount Royal University'),
(1229, 'Film', 'Arts', 'MacEwan University'),
(1230, 'History', 'Arts', 'NAIT'),
(1231, 'Law', 'Law', 'NAIT'),
(1232, 'Physics', 'Science', 'Bow Valley University'),
(1233, 'Drama', 'Arts', 'SAIT'),
(1234, 'Physics', 'Science', 'Mount Royal University'),
(1235, 'English', 'Arts', 'University of Calgary'),
(1236, 'Physics', 'Science', 'Mount Royal University'),
(1237, 'Music', 'Arts', 'SAIT'),
(1238, 'Accounting', 'Business', 'Mount Royal University'),
(1239, 'Computer Science', 'Science', 'Athabasca University'),
(1240, 'English', 'Arts', 'MacEwan University'),
(1241, 'Law', 'Law', 'NorQuest College'),
(1242, 'Biology', 'Science', 'University of Calgary'),
(1243, 'Psychology', 'Science', 'NorQuest College'),
(1244, 'Economics', 'Business', 'SAIT'),
(1245, 'Economics', 'Business', 'SAIT'),
(1246, 'Computer Science', 'Science', 'MacEwan University'),
(1247, 'Psychology', 'Science', 'Bow Valley University'),
(1248, 'English', 'Arts', 'MacEwan University'),
(1249, 'Biology', 'Science', 'MacEwan University'),
(1250, 'Film', 'Arts', 'NAIT'),
(1251, 'Finance', 'Business', 'MacEwan University'),
(1252, 'Computer Science', 'Science', 'NAIT'),
(1253, 'History', 'Arts', 'University of Calgary'),
(1254, 'Fine Arts', 'Arts', 'University of Calgary'),
(1255, 'Economics', 'Business', 'NorQuest College'),
(1256, 'Music', 'Arts', 'Athabasca University'),
(1257, 'Math', 'Science', 'MacEwan University'),
(1258, 'Fine Arts', 'Arts', 'NAIT'),
(1259, 'Biology', 'Science', 'NAIT'),
(1260, 'Finance', 'Business', 'SAIT'),
(1261, 'Drama', 'Arts', 'SAIT'),
(1262, 'Chemistry', 'Science', 'SAIT'),
(1263, 'Music', 'Arts', 'MacEwan University'),
(1264, 'Film', 'Arts', 'Bow Valley University'),
(1265, 'Physics', 'Science', 'MacEwan University'),
(1266, 'History', 'Arts', 'NAIT'),
(1267, 'Music', 'Arts', 'Mount Royal University'),
(1268, 'Music', 'Arts', 'NorQuest College'),
(1269, 'Psychology', 'Science', 'Bow Valley University'),
(1270, 'Law', 'Law', 'SAIT'),
(1271, 'Physics', 'Science', 'Bow Valley University'),
(1272, 'Physics', 'Science', 'MacEwan University'),
(1273, 'English', 'Arts', 'University of Alberta'),
(1274, 'Chemistry', 'Science', 'Bow Valley University'),
(1275, 'Drama', 'Arts', 'University of Alberta'),
(1276, 'Physics', 'Science', 'Mount Royal University'),
(1277, 'Economics', 'Business', 'University of Calgary'),
(1278, 'Math', 'Science', 'Bow Valley University'),
(1279, 'Fine Arts', 'Arts', 'Mount Royal University'),
(1280, 'Psychology', 'Science', 'Bow Valley University'),
(1281, 'English', 'Arts', 'University of Alberta'),
(1282, 'Finance', 'Business', 'Bow Valley University'),
(1283, 'Film', 'Arts', 'Mount Royal University'),
(1284, 'History', 'Arts', 'SAIT'),
(1285, 'Finance', 'Business', 'University of Calgary'),
(1286, 'Law', 'Law', 'Bow Valley University'),
(1287, 'Fine Arts', 'Arts', 'University of Calgary'),
(1288, 'English', 'Arts', 'MacEwan University'),
(1289, 'Finance', 'Business', 'SAIT'),
(1290, 'Finance', 'Business', 'NAIT'),
(1291, 'Music', 'Arts', 'University of Alberta'),
(1292, 'Music', 'Arts', 'Mount Royal University'),
(1293, 'Film', 'Arts', 'Bow Valley University'),
(1294, 'History', 'Arts', 'NAIT'),
(1295, 'English', 'Arts', 'Bow Valley University'),
(1296, 'Finance', 'Business', 'Athabasca University'),
(1297, 'Accounting', 'Business', 'Mount Royal University'),
(1298, 'Film', 'Arts', 'SAIT'),
(1299, 'Film', 'Arts', 'Mount Royal University'),
(1300, 'Math', 'Science', 'NorQuest College'),
(1301, 'Accounting', 'Business', 'SAIT'),
(1302, 'Computer Science', 'Science', 'Athabasca University'),
(1303, 'Chemistry', 'Science', 'University of Alberta'),
(1304, 'Finance', 'Business', 'Bow Valley University'),
(1305, 'Accounting', 'Business', 'Athabasca University'),
(1306, 'Computer Science', 'Science', 'SAIT'),
(1307, 'Computer Science', 'Science', 'NorQuest College'),
(1308, 'Chemistry', 'Science', 'SAIT'),
(1309, 'Biology', 'Science', 'University of Alberta'),
(1310, 'Law', 'Law', 'SAIT'),
(1311, 'Accounting', 'Business', 'University of Alberta'),
(1312, 'Drama', 'Arts', 'NAIT'),
(1313, 'Accounting', 'Business', 'Athabasca University'),
(1314, 'Computer Science', 'Science', 'University of Alberta'),
(1315, 'Music', 'Arts', 'University of Alberta'),
(1316, 'English', 'Arts', 'MacEwan University'),
(1317, 'Drama', 'Arts', 'Mount Royal University'),
(1318, 'History', 'Arts', 'Bow Valley University'),
(1319, 'Music', 'Arts', 'NAIT'),
(1320, 'Music', 'Arts', 'MacEwan University'),
(1321, 'Biology', 'Science', 'Bow Valley University'),
(1322, 'History', 'Arts', 'University of Alberta'),
(1323, 'Biology', 'Science', 'University of Calgary'),
(1324, 'Finance', 'Business', 'Mount Royal University'),
(1325, 'Film', 'Arts', 'MacEwan University'),
(1326, 'Psychology', 'Science', 'NorQuest College'),
(1327, 'English', 'Arts', 'Athabasca University'),
(1328, 'Economics', 'Business', 'University of Calgary'),
(1329, 'Law', 'Law', 'Bow Valley University'),
(1330, 'Music', 'Arts', 'Mount Royal University'),
(1331, 'Psychology', 'Science', 'University of Alberta'),
(1332, 'History', 'Arts', 'Athabasca University'),
(1333, 'English', 'Arts', 'University of Alberta'),
(1334, 'Computer Science', 'Science', 'University of Calgary'),
(1335, 'Finance', 'Business', 'NAIT'),
(1336, 'Biology', 'Science', 'University of Calgary'),
(1337, 'Film', 'Arts', 'NAIT'),
(1338, 'Accounting', 'Business', 'University of Alberta'),
(1339, 'Finance', 'Business', 'SAIT'),
(1340, 'Biology', 'Science', 'MacEwan University'),
(1341, 'Drama', 'Arts', 'University of Calgary'),
(1342, 'Economics', 'Business', 'Bow Valley University'),
(1343, 'Economics', 'Business', 'Bow Valley University'),
(1344, 'Fine Arts', 'Arts', 'MacEwan University'),
(1345, 'Music', 'Arts', 'MacEwan University'),
(1346, 'English', 'Arts', 'NAIT'),
(1347, 'Economics', 'Business', 'NAIT'),
(1348, 'Music', 'Arts', 'University of Alberta'),
(1349, 'Law', 'Law', 'NorQuest College'),
(1350, 'Law', 'Law', 'NorQuest College'),
(1351, 'Finance', 'Business', 'Bow Valley University'),
(1352, 'Finance', 'Business', 'MacEwan University'),
(1353, 'Psychology', 'Science', 'Mount Royal University'),
(1354, 'Finance', 'Business', 'Athabasca University'),
(1355, 'Drama', 'Arts', 'Bow Valley University'),
(1356, 'Computer Science', 'Science', 'NAIT'),
(1357, 'Chemistry', 'Science', 'MacEwan University'),
(1358, 'Fine Arts', 'Arts', 'Bow Valley University'),
(1359, 'Finance', 'Business', 'SAIT'),
(1360, 'Accounting', 'Business', 'University of Calgary'),
(1361, 'Drama', 'Arts', 'SAIT'),
(1362, 'Psychology', 'Science', 'NorQuest College'),
(1363, 'Math', 'Science', 'NorQuest College'),
(1364, 'Physics', 'Science', 'SAIT'),
(1365, 'Chemistry', 'Science', 'Bow Valley University'),
(1366, 'Physics', 'Science', 'University of Alberta'),
(1367, 'Accounting', 'Business', 'NAIT'),
(1368, 'Music', 'Arts', 'University of Alberta'),
(1369, 'Math', 'Science', 'Bow Valley University'),
(1370, 'Accounting', 'Business', 'Bow Valley University'),
(1371, 'Music', 'Arts', 'Athabasca University'),
(1372, 'Physics', 'Science', 'Mount Royal University'),
(1373, 'Chemistry', 'Science', 'Athabasca University'),
(1374, 'Biology', 'Science', 'Mount Royal University'),
(1375, 'Accounting', 'Business', 'Athabasca University'),
(1376, 'Math', 'Science', 'NorQuest College'),
(1377, 'Law', 'Law', 'NAIT'),
(1378, 'Film', 'Arts', 'NorQuest College'),
(1379, 'Biology', 'Science', 'NorQuest College'),
(1380, 'Drama', 'Arts', 'SAIT'),
(1381, 'Physics', 'Science', 'Mount Royal University'),
(1382, 'Music', 'Arts', 'MacEwan University'),
(1383, 'History', 'Arts', 'MacEwan University'),
(1384, 'Music', 'Arts', 'Mount Royal University'),
(1385, 'Fine Arts', 'Arts', 'Bow Valley University'),
(1386, 'Fine Arts', 'Arts', 'Athabasca University'),
(1387, 'Music', 'Arts', 'MacEwan University'),
(1388, 'Law', 'Law', 'University of Alberta'),
(1389, 'Film', 'Arts', 'NorQuest College'),
(1390, 'Finance', 'Business', 'NAIT'),
(1391, 'Film', 'Arts', 'SAIT'),
(1392, 'Music', 'Arts', 'NAIT'),
(1393, 'Biology', 'Science', 'MacEwan University'),
(1394, 'Computer Science', 'Science', 'NAIT'),
(1395, 'Fine Arts', 'Arts', 'Bow Valley University'),
(1396, 'Law', 'Law', 'SAIT'),
(1397, 'Film', 'Arts', 'Bow Valley University'),
(1398, 'History', 'Arts', 'Bow Valley University'),
(1399, 'English', 'Arts', 'NAIT'),
(1400, 'Finance', 'Business', 'NorQuest College'),
(1401, 'Music', 'Arts', 'SAIT'),
(1402, 'Law', 'Law', 'Bow Valley University'),
(1403, 'Biology', 'Science', 'University of Calgary'),
(1404, 'Fine Arts', 'Arts', 'MacEwan University'),
(1405, 'Psychology', 'Science', 'SAIT'),
(1406, 'Law', 'Law', 'NorQuest College'),
(1407, 'History', 'Arts', 'University of Alberta'),
(1408, 'Film', 'Arts', 'Bow Valley University'),
(1409, 'Biology', 'Science', 'University of Calgary'),
(1410, 'Film', 'Arts', 'NAIT'),
(1411, 'Accounting', 'Business', 'SAIT'),
(1412, 'Law', 'Law', 'University of Alberta'),
(1413, 'Music', 'Arts', 'NorQuest College'),
(1414, 'Physics', 'Science', 'NorQuest College'),
(1415, 'Biology', 'Science', 'SAIT'),
(1416, 'Psychology', 'Science', 'Mount Royal University'),
(1417, 'Law', 'Law', 'NorQuest College'),
(1418, 'Law', 'Law', 'NAIT'),
(1419, 'Economics', 'Business', 'Bow Valley University'),
(1420, 'Computer Science', 'Science', 'NAIT'),
(1421, 'Finance', 'Business', 'NAIT'),
(1422, 'Film', 'Arts', 'Mount Royal University'),
(1423, 'Chemistry', 'Science', 'University of Alberta'),
(1424, 'English', 'Arts', 'NorQuest College'),
(1425, 'Law', 'Law', 'Bow Valley University'),
(1426, 'Biology', 'Science', 'University of Alberta'),
(1427, 'Chemistry', 'Science', 'University of Alberta'),
(1428, 'Fine Arts', 'Arts', 'University of Alberta'),
(1429, 'History', 'Arts', 'Athabasca University'),
(1430, 'Drama', 'Arts', 'University of Calgary'),
(1431, 'Physics', 'Science', 'Mount Royal University'),
(1432, 'Film', 'Arts', 'Athabasca University'),
(1433, 'Drama', 'Arts', 'University of Calgary'),
(1434, 'Law', 'Law', 'Athabasca University'),
(1435, 'Psychology', 'Science', 'Bow Valley University'),
(1436, 'Film', 'Arts', 'SAIT'),
(1437, 'Music', 'Arts', 'MacEwan University'),
(1438, 'Accounting', 'Business', 'University of Calgary'),
(1439, 'Math', 'Science', 'University of Calgary'),
(1440, 'Computer Science', 'Science', 'NorQuest College'),
(1441, 'Music', 'Arts', 'NorQuest College'),
(1442, 'Math', 'Science', 'Mount Royal University'),
(1443, 'Psychology', 'Science', 'SAIT'),
(1444, 'Film', 'Arts', 'Bow Valley University'),
(1445, 'History', 'Arts', 'Mount Royal University'),
(1446, 'Fine Arts', 'Arts', 'University of Calgary'),
(1447, 'Chemistry', 'Science', 'University of Alberta'),
(1448, 'History', 'Arts', 'SAIT'),
(1449, 'Chemistry', 'Science', 'MacEwan University'),
(1450, 'Psychology', 'Science', 'NorQuest College'),
(1451, 'Economics', 'Business', 'Bow Valley University'),
(1452, 'Economics', 'Business', 'MacEwan University'),
(1453, 'Finance', 'Business', 'SAIT'),
(1454, 'Film', 'Arts', 'Mount Royal University'),
(1455, 'Music', 'Arts', 'Bow Valley University'),
(1456, 'Economics', 'Business', 'NAIT'),
(1457, 'Finance', 'Business', 'NAIT'),
(1458, 'Drama', 'Arts', 'Bow Valley University'),
(1459, 'History', 'Arts', 'NorQuest College'),
(1460, 'Chemistry', 'Science', 'Bow Valley University'),
(1461, 'Chemistry', 'Science', 'SAIT'),
(1462, 'Biology', 'Science', 'Mount Royal University'),
(1463, 'Physics', 'Science', 'NorQuest College'),
(1464, 'Accounting', 'Business', 'NorQuest College'),
(1465, 'Computer Science', 'Science', 'University of Calgary'),
(1466, 'Biology', 'Science', 'MacEwan University'),
(1467, 'Physics', 'Science', 'University of Calgary'),
(1468, 'Film', 'Arts', 'MacEwan University'),
(1469, 'Computer Science', 'Science', 'MacEwan University'),
(1470, 'Drama', 'Arts', 'Bow Valley University'),
(1471, 'Biology', 'Science', 'Mount Royal University'),
(1472, 'Chemistry', 'Science', 'NAIT'),
(1473, 'Economics', 'Business', 'Bow Valley University'),
(1474, 'Film', 'Arts', 'NorQuest College'),
(1475, 'Accounting', 'Business', 'University of Calgary'),
(1476, 'Psychology', 'Science', 'SAIT'),
(1477, 'Physics', 'Science', 'SAIT'),
(1478, 'Film', 'Arts', 'Mount Royal University'),
(1479, 'Economics', 'Business', 'NorQuest College'),
(1480, 'Economics', 'Business', 'NorQuest College'),
(1481, 'Drama', 'Arts', 'NAIT'),
(1482, 'Drama', 'Arts', 'SAIT'),
(1483, 'Music', 'Arts', 'University of Alberta'),
(1484, 'Computer Science', 'Science', 'Mount Royal University'),
(1485, 'Computer Science', 'Science', 'NAIT'),
(1486, 'Computer Science', 'Science', 'Athabasca University'),
(1487, 'Economics', 'Business', 'University of Alberta'),
(1488, 'Math', 'Science', 'Athabasca University'),
(1489, 'Music', 'Arts', 'Athabasca University'),
(1490, 'Computer Science', 'Science', 'MacEwan University'),
(1491, 'Accounting', 'Business', 'NAIT'),
(1492, 'Psychology', 'Science', 'University of Calgary'),
(1493, 'Economics', 'Business', 'Mount Royal University'),
(1494, 'Economics', 'Business', 'NAIT'),
(1495, 'Music', 'Arts', 'Athabasca University'),
(1496, 'History', 'Arts', 'NorQuest College'),
(1497, 'Finance', 'Business', 'NorQuest College'),
(1498, 'Math', 'Science', 'NAIT'),
(1499, 'Music', 'Arts', 'SAIT'),
(1500, 'Computer Science', 'Science', 'NorQuest College'),
(1501, 'Accounting', 'Business', 'Athabasca University'),
(1502, 'Chemistry', 'Science', 'Bow Valley University'),
(1503, 'Accounting', 'Business', 'University of Alberta'),
(1504, 'Law', 'Law', 'NAIT'),
(1505, 'Chemistry', 'Science', 'University of Calgary'),
(1506, 'Law', 'Law', 'Athabasca University'),
(1507, 'Math', 'Science', 'NorQuest College'),
(1508, 'Math', 'Science', 'Bow Valley University'),
(1509, 'Computer Science', 'Science', 'Athabasca University'),
(1510, 'History', 'Arts', 'University of Alberta'),
(1511, 'Math', 'Science', 'Athabasca University'),
(1512, 'Computer Science', 'Science', 'Mount Royal University'),
(1513, 'Music', 'Arts', 'Mount Royal University'),
(1514, 'Biology', 'Science', 'NorQuest College'),
(1515, 'Finance', 'Business', 'University of Alberta'),
(1516, 'History', 'Arts', 'NAIT'),
(1517, 'Accounting', 'Business', 'Bow Valley University'),
(1518, 'Math', 'Science', 'Mount Royal University'),
(1519, 'Computer Science', 'Science', 'NorQuest College'),
(1520, 'Psychology', 'Science', 'University of Alberta'),
(1521, 'Accounting', 'Business', 'University of Calgary'),
(1522, 'Psychology', 'Science', 'NAIT'),
(1523, 'Fine Arts', 'Arts', 'SAIT'),
(1524, 'Law', 'Law', 'NorQuest College'),
(1525, 'Finance', 'Business', 'University of Calgary'),
(1526, 'Music', 'Arts', 'NAIT'),
(1527, 'Physics', 'Science', 'SAIT'),
(1528, 'Finance', 'Business', 'Bow Valley University'),
(1529, 'Finance', 'Business', 'NorQuest College'),
(1530, 'Drama', 'Arts', 'University of Alberta'),
(1531, 'Music', 'Arts', 'Bow Valley University'),
(1532, 'History', 'Arts', 'University of Alberta'),
