INSERT INTO Instructor (InstructorId, Faculty, Rank, University) VALUES
(127, 'Law', 'Professor', 'MacEwan University'),
(128, 'Arts', 'Associate Professor', 'Bow Valley University'),
(129, 'Business', 'Professor', 'Bow Valley University'),
(130, 'Arts', 'Associate Professor', 'NAIT'),
(131, 'Arts', 'Associate Professor', 'NorQuest College'),
(132, 'Science', 'Associate Professor', 'Athabasca University'),
(133, 'Business', 'Professor', 'Athabasca University'),
(134, 'Law', 'Professor', 'Bow Valley University'),
(135, 'Business', 'Professor', 'Mount Royal University'),
(136, 'Science', 'Professor', 'NorQuest College'),
(137, 'Business', 'Associate Professor', 'Mount Royal University'),
(138, 'Business', 'Professor', 'MacEwan University'),
(139, 'Law', 'Professor', 'University of Calgary'),
(140, 'Law', 'Professor', 'University of Calgary'),
(141, 'Business', 'Professor', 'University of Alberta'),
(142, 'Business', 'Professor', 'Athabasca University'),
(143, 'Law', 'Associate Professor', 'University of Alberta'),
(144, 'Science', 'Associate Professor', 'University of Calgary'),
(145, 'Business', 'Professor', 'University of Alberta'),
(146, 'Science', 'Associate Professor', 'NAIT'),
(147, 'Law', 'Associate Professor', 'NAIT'),
(148, 'Arts', 'Associate Professor', 'University of Alberta'),
(149, 'Law', 'Professor', 'Athabasca University'),
(150, 'Arts', 'Professor', 'NorQuest College'),
(151, 'Law', 'Associate Professor', 'Mount Royal University'),
(152, 'Business', 'Associate Professor', 'Mount Royal University'),
(153, 'Law', 'Associate Professor', 'Athabasca University'),
(154, 'Law', 'Associate Professor', 'Athabasca University'),
(155, 'Law', 'Associate Professor', 'Bow Valley University'),
(156, 'Law', 'Associate Professor', 'Bow Valley University'),
(157, 'Law', 'Associate Professor', 'Athabasca University'),
(158, 'Science', 'Associate Professor', 'University of Alberta');

