INSERT INTO Student (StudentId, Major, Gender) VALUES
(100288, 'Drama', 'Female'),
(100289, 'History', 'Male'),
(100290, 'Biology', 'Male'),
(100291, 'History', 'Female'),
(100292, 'English', 'Male'),
(100293, 'Economics', 'Male'),
(100294, 'Fine Arts', 'Male'),
(100295, 'Physics', 'Female'),
(100296, 'Drama', 'Female'),
(100297, 'English', 'Male'),
(100298, 'Psychology', 'Male'),
(100299, 'Biology', 'Male'),
(100300, 'Music', 'Female'),
(100301, 'Drama', 'Male'),
(100302, 'Biology', 'Male'),
(100303, 'Physics', 'Male'),
(100304, 'History', 'Female'),
(100305, 'Physics', 'Female'),
(100306, 'Finance', 'Male'),
(100307, 'Law', 'Male'),
(100308, 'Psychology', 'Male'),
(100309, 'Economics', 'Female'),
(100310, 'Music', 'Male'),
(100311, 'Accounting', 'Female'),
(100312, 'Drama', 'Male'),
(100313, 'Law', 'Female'),
(100314, 'Biology', 'Female'),
(100315, 'Finance', 'Male'),
(100316, 'Economics', 'Male'),
(100317, 'English', 'Female'),
(100318, 'Film', 'Female'),
(100319, 'Biology', 'Female'),
(100320, 'Chemistry', 'Female'),
(100321, 'Math', 'Female'),
(100322, 'English', 'Non-binary'),
(100323, 'Economics', 'Male'),
(100324, 'Law', 'Female'),
(100325, 'Chemistry', 'Male'),
(100326, 'Accounting', 'Female'),
(100327, 'Fine Arts', 'Non-binary'),
(100328, 'Drama', 'Female'),
(100329, 'Psychology', 'Non-binary'),
(100330, 'Law', 'Male'),
(100331, 'Drama', 'Male'),
(100332, 'Biology', 'Male'),
(100333, 'Music', 'Female'),
(100334, 'Physics', 'Male'),
(100335, 'Math', 'Male'),
(100336, 'Drama', 'Male'),
(100337, 'History', 'Male'),
(100338, 'History', 'Male'),
(100339, 'Physics', 'Female'),
(100340, 'Computer Science', 'Female'),
(100341, 'Finance', 'Male'),
(100342, 'Fine Arts', 'Male'),
(100343, 'Biology', 'Male'),
(100344, 'Psychology', 'Non-binary'),
(100345, 'Film', 'Male'),
(100346, 'Chemistry', 'Male'),
(100347, 'Law', 'Female'),
(100348, 'Physics', 'Male'),
(100349, 'Psychology', 'Female'),
(100350, 'History', 'Female'),
(100351, 'Computer Science', 'Female'),
(100352, 'Biology', 'Female'),
(100353, 'Drama', 'Female'),
(100354, 'Music', 'Male'),
(100355, 'English', 'Female'),
(100356, 'Math', 'Female'),
(100357, 'English', 'Male'),
(100358, 'Psychology', 'Female'),
(100359, 'Psychology', 'Male'),
(100360, 'Fine Arts', 'Male'),
(100361, 'English', 'Male'),
(100362, 'Finance', 'Male'),
(100363, 'Psychology', 'Male'),
(100364, 'Chemistry', 'Female'),
(100365, 'Law', 'Female'),
(100366, 'Psychology', 'Female'),
(100367, 'History', 'Female'),
(100368, 'English', 'Male'),
(100369, 'Psychology', 'Male'),
(100370, 'Biology', 'Female'),
(100371, 'English', 'Male'),
(100372, 'History', 'Female'),
(100373, 'English', 'Female'),
(100374, 'Accounting', 'Male'),
(100375, 'Accounting', 'Female'),
(100376, 'Biology', 'Female'),
(100377, 'Music', 'Male'),
(100378, 'Music', 'Male'),
(100379, 'Psychology', 'Male'),
(100380, 'Finance', 'Non-binary'),
(100381, 'Music', 'Non-binary'),
(100382, 'English', 'Male'),
(100383, 'Accounting', 'Female'),
(100384, 'Fine Arts', 'Female'),
(100385, 'Chemistry', 'Female'),
(100386, 'Accounting', 'Male'),
(100387, 'Psychology', 'Female'),
(100388, 'Computer Science', 'Male'),
(100389, 'Fine Arts', 'Male'),
(100390, 'Physics', 'Male'),
(100391, 'Computer Science', 'Male'),
(100392, 'Computer Science', 'Non-binary'),
(100393, 'Physics', 'Female'),
(100394, 'Fine Arts', 'Female'),
(100395, 'Math', 'Male'),
(100396, 'Math', 'Male'),
(100397, 'Math', 'Female'),
(100398, 'Chemistry', 'Female'),
(100399, 'Math', 'Female'),
(100400, 'Drama', 'Male'),
(100401, 'Drama', 'Female'),
(100402, 'Finance', 'Male'),
(100403, 'Biology', 'Male'),
(100404, 'Chemistry', 'Male'),
(100405, 'Computer Science', 'Male'),
(100406, 'Physics', 'Female'),
(100407, 'Math', 'Female'),
(100408, 'Chemistry', 'Female'),
(100409, 'Music', 'Female'),
(100410, 'Law', 'Female'),
(100411, 'Accounting', 'Male'),
(100412, 'English', 'Male'),
(100413, 'Math', 'Female'),
(100414, 'Drama', 'Male'),
(100415, 'History', 'Female'),
(100416, 'History', 'Male'),
(100417, 'Math', 'Female'),
(100418, 'Fine Arts', 'Female'),
(100419, 'Law', 'Male'),
(100420, 'History', 'Male'),
(100421, 'Computer Science', 'Female'),
(100422, 'Finance', 'Female'),
(100423, 'Music', 'Female'),
(100424, 'Fine Arts', 'Female'),
(100425, 'Accounting', 'Female'),
(100426, 'Fine Arts', 'Male'),
(100427, 'Chemistry', 'Female'),
(100428, 'Fine Arts', 'Female'),
(100429, 'Drama', 'Female'),
(100430, 'Accounting', 'Female'),
(100431, 'History', 'Male'),
(100432, 'English', 'Female'),
(100433, 'Film', 'Female'),
(100434, 'Law', 'Male'),
(100435, 'Economics', 'Male'),
(100436, 'Economics', 'Male'),
(100437, 'Computer Science', 'Male'),
(100438, 'Computer Science', 'Male'),
(100439, 'Accounting', 'Male'),
(100440, 'Fine Arts', 'Male'),
(100441, 'Law', 'Male'),
(100442, 'Biology', 'Male'),
(100443, 'Economics', 'Female'),
(100444, 'English', 'Female'),
(100445, 'Finance', 'Female'),
(100446, 'Physics', 'Female'),
(100447, 'Drama', 'Female'),
(100448, 'English', 'Male'),
(100449, 'Biology', 'Male'),
(100450, 'Law', 'Female'),
(100451, 'Music', 'Male'),
(100452, 'Psychology', 'Female'),
(100453, 'Psychology', 'Female'),
(100454, 'Chemistry', 'Female'),
(100455, 'Fine Arts', 'Female'),
(100456, 'Finance', 'Male'),
(100457, 'Psychology', 'Male'),
(100458, 'Music', 'Female'),
(100459, 'Drama', 'Male'),
(100460, 'Math', 'Male'),
(100461, 'Physics', 'Female'),
(100462, 'Biology', 'Non-binary'),
(100463, 'Biology', 'Male'),
(100464, 'English', 'Male'),
(100465, 'English', 'Non-binary'),
(100466, 'Physics', 'Female'),
(100467, 'Law', 'Female'),
(100468, 'Accounting', 'Male'),
(100469, 'Law', 'Male'),
(100470, 'Fine Arts', 'Male'),
(100471, 'Computer Science', 'Female'),
(100472, 'History', 'Male'),
(100473, 'Finance', 'Male'),
(100474, 'English', 'Female'),
(100475, 'Psychology', 'Male'),
(100476, 'Accounting', 'Male'),
(100477, 'Biology', 'Female'),
(100478, 'Physics', 'Female'),
(100479, 'Math', 'Female'),
(100480, 'Law', 'Female'),
(100481, 'Biology', 'Male'),
(100482, 'Law', 'Male'),
(100483, 'Biology', 'Male'),
(100484, 'Drama', 'Male'),
(100485, 'Law', 'Female'),
(100486, 'History', 'Female'),
(100487, 'Drama', 'Female'),
(100488, 'Biology', 'Male'),
(100489, 'Law', 'Male'),
(100490, 'Economics', 'Male'),
(100491, 'Drama', 'Female'),
(100492, 'Computer Science', 'Male'),
(100493, 'Finance', 'Female'),
(100494, 'Music', 'Male'),
(100495, 'Computer Science', 'Male'),
(100496, 'History', 'Male'),
(100497, 'Psychology', 'Male'),
(100498, 'Physics', 'Male'),
(100499, 'Finance', 'Female'),
(100500, 'Psychology', 'Female'),
(100501, 'Chemistry', 'Male'),
(100502, 'Law', 'Female'),
(100503, 'Computer Science', 'Male'),
(100504, 'Psychology', 'Male'),
(100505, 'Chemistry', 'Female'),
(100506, 'Law', 'Female'),
(100507, 'Law', 'Female'),
(100508, 'Finance', 'Female'),
(100509, 'Computer Science', 'Female'),
(100510, 'Economics', 'Male'),
(100511, 'Math', 'Male'),
(100512, 'English', 'Male'),
(100513, 'Math', 'Male'),
(100514, 'Psychology', 'Male'),
(100515, 'Chemistry', 'Male'),
(100516, 'Music', 'Male'),
(100517, 'Music', 'Female'),
(100518, 'Law', 'Female'),
(100519, 'English', 'Female'),
(100520, 'Finance', 'Female'),
(100521, 'Accounting', 'Female'),
(100522, 'History', 'Female'),
(100523, 'Economics', 'Male'),
(100524, 'History', 'Female'),
(100525, 'Physics', 'Male'),
(100526, 'Psychology', 'Female'),
(100527, 'English', 'Female'),
(100528, 'Economics', 'Female'),
(100529, 'History', 'Male'),
(100530, 'Film', 'Female'),
(100531, 'Computer Science', 'Female'),
(100532, 'Fine Arts', 'Female'),
(100533, 'Music', 'Male'),
(100534, 'Music', 'Male'),
(100535, 'History', 'Male'),
(100536, 'History', 'Male'),
(100537, 'Accounting', 'Male'),
(100538, 'Psychology', 'Female'),
(100539, 'Computer Science', 'Female'),
(100540, 'Film', 'Female'),
(100541, 'Computer Science', 'Male'),
(100542, 'Accounting', 'Male'),
(100543, 'Drama', 'Female'),
(100544, 'Economics', 'Male'),
(100545, 'English', 'Male'),
(100546, 'History', 'Male'),
(100547, 'History', 'Male'),
(100548, 'Economics', 'Male'),
(100549, 'Math', 'Male'),
(100550, 'English', 'Male'),
(100551, 'Chemistry', 'Female'),
(100552, 'English', 'Female'),
(100553, 'Psychology', 'Female'),
(100554, 'English', 'Female'),
(100555, 'Biology', 'Male'),
(100556, 'Law', 'Non-binary'),
(100557, 'Psychology', 'Female'),
(100558, 'Drama', 'Male'),
(100559, 'Psychology', 'Male'),
(100560, 'Economics', 'Female'),
(100561, 'Drama', 'Female'),
(100562, 'Film', 'Female'),
(100563, 'Biology', 'Male'),
(100564, 'Biology', 'Female'),
(100565, 'Psychology', 'Female'),
(100566, 'Fine Arts', 'Male'),
(100567, 'Accounting', 'Male'),
(100568, 'Psychology', 'Female'),
(100569, 'Chemistry', 'Female'),
(100570, 'Chemistry', 'Female'),
(100571, 'Economics', 'Female'),
(100572, 'Accounting', 'Female'),
(100573, 'Drama', 'Female'),
(100574, 'Physics', 'Male'),
(100575, 'Accounting', 'Male'),
(100576, 'Film', 'Female'),
(100577, 'Chemistry', 'Female'),
(100578, 'History', 'Male'),
(100579, 'History', 'Female'),
(100580, 'Fine Arts', 'Male'),
(100581, 'Film', 'Male'),
(100582, 'Computer Science', 'Male'),
(100583, 'Economics', 'Female'),
(100584, 'Law', 'Female'),
(100585, 'English', 'Female'),
(100586, 'Computer Science', 'Female'),
(100587, 'Fine Arts', 'Male'),
(100588, 'History', 'Male'),
(100589, 'Math', 'Female'),
(100590, 'English', 'Male'),
(100591, 'Economics', 'Male'),
(100592, 'Economics', 'Female'),
(100593, 'Math', 'Female'),
(100594, 'Biology', 'Male'),
(100595, 'Law', 'Male'),
(100596, 'Finance', 'Female'),
(100597, 'Accounting', 'Female'),
(100598, 'Computer Science', 'Male'),
(100599, 'Biology', 'Female'),
(100600, 'Economics', 'Female'),
(100601, 'Music', 'Female'),
(100602, 'Drama', 'Female'),
(100603, 'English', 'Female'),
(100604, 'Computer Science', 'Male'),
(100605, 'History', 'Female'),
(100606, 'Chemistry', 'Male'),
(100607, 'Math', 'Male'),
(100608, 'Biology', 'Female'),
(100609, 'Music', 'Male'),
(100610, 'Music', 'Male'),
(100611, 'Math', 'Female'),
(100612, 'Biology', 'Female'),
(100613, 'Music', 'Female'),
(100614, 'English', 'Female'),
(100615, 'Psychology', 'Male'),
(100616, 'Physics', 'Female'),
(100617, 'Physics', 'Male'),
(100618, 'Drama', 'Male'),
(100619, 'Film', 'Female'),
(100620, 'Finance', 'Male'),
(100621, 'Economics', 'Female'),
(100622, 'Law', 'Female'),
(100623, 'Fine Arts', 'Female'),
(100624, 'English', 'Female'),
(100625, 'Accounting', 'Male'),
(100626, 'Law', 'Male'),
(100627, 'Chemistry', 'Male'),
(100628, 'Psychology', 'Female'),
(100629, 'Music', 'Male'),
(100630, 'Drama', 'Male'),
(100631, 'Finance', 'Female'),
(100632, 'History', 'Female'),
(100633, 'Economics', 'Female'),
(100634, 'Law', 'Female'),
(100635, 'History', 'Male'),
(100636, 'Biology', 'Male'),
(100637, 'Finance', 'Male'),
(100638, 'Film', 'Female'),
(100639, 'Math', 'Male'),
(100640, 'Chemistry', 'Female'),
(100641, 'Computer Science', 'Female'),
(100642, 'Finance', 'Female'),
(100643, 'Physics', 'Female'),
(100644, 'Accounting', 'Male'),
(100645, 'Fine Arts', 'Female'),
(100646, 'Biology', 'Female'),
(100647, 'Physics', 'Male'),
(100648, 'History', 'Male'),
(100649, 'Fine Arts', 'Male'),
(100650, 'Psychology', 'Male'),
(100651, 'Fine Arts', 'Male'),
(100652, 'Physics', 'Female'),
(100653, 'Accounting', 'Female'),
(100654, 'History', 'Female'),
(100655, 'Music', 'Male'),
(100656, 'English', 'Female'),
(100657, 'Math', 'Female'),
(100658, 'English', 'Female'),
(100659, 'Fine Arts', 'Female'),
(100660, 'Physics', 'Female'),
(100661, 'Film', 'Male'),
(100662, 'Economics', 'Female'),
(100663, 'Drama', 'Male'),
(100664, 'Economics', 'Female'),
(100665, 'Physics', 'Male'),
(100666, 'Biology', 'Female'),
(100667, 'Finance', 'Female'),
(100668, 'Economics', 'Male'),
(100669, 'Fine Arts', 'Male'),
(100670, 'Physics', 'Female'),
(100671, 'History', 'Male'),
(100672, 'Accounting', 'Male'),
(100673, 'Fine Arts', 'Male'),
(100674, 'Finance', 'Female'),
(100675, 'Computer Science', 'Female'),
(100676, 'Computer Science', 'Male'),
(100677, 'Drama', 'Male'),
(100678, 'Computer Science', 'Male'),
(100679, 'Physics', 'Female'),
(100680, 'Math', 'Male'),
(100681, 'Music', 'Male'),
(100682, 'Drama', 'Male'),
(100683, 'Psychology', 'Male'),
(100684, 'Fine Arts', 'Male'),
(100685, 'Math', 'Male'),
(100686, 'Accounting', 'Male'),
(100687, 'Chemistry', 'Male'),
(100688, 'Computer Science', 'Female'),
(100689, 'Economics', 'Male'),
(100690, 'Psychology', 'Female'),
(100691, 'Psychology', 'Female'),
(100692, 'Finance', 'Male'),
(100693, 'Law', 'Male'),
(100694, 'Law', 'Male'),
(100695, 'Psychology', 'Female'),
(100696, 'Fine Arts', 'Male'),
(100697, 'Math', 'Male'),
(100698, 'Physics', 'Male'),
(100699, 'Film', 'Male'),
(100700, 'Music', 'Male'),
(100701, 'Drama', 'Female'),
(100702, 'Biology', 'Female'),
(100703, 'Math', 'Male'),
(100704, 'Chemistry', 'Female'),
(100705, 'Finance', 'Female'),
(100706, 'Physics', 'Female'),
(100707, 'Chemistry', 'Female'),
(100708, 'Chemistry', 'Female'),
(100709, 'English', 'Female'),
(100710, 'Biology', 'Female'),
(100711, 'English', 'Male'),
(100712, 'Physics', 'Female'),
(100713, 'Law', 'Male'),
(100714, 'Biology', 'Male'),
(100715, 'Drama', 'Female'),
(100716, 'Physics', 'Male'),
(100717, 'Economics', 'Male'),
(100718, 'Fine Arts', 'Male'),
(100719, 'English', 'Male'),
(100720, 'Chemistry', 'Male'),
(100721, 'Math', 'Female'),
(100722, 'Math', 'Female'),
(100723, 'English', 'Male'),
(100724, 'Accounting', 'Female'),
(100725, 'Economics', 'Female'),
(100726, 'Film', 'Male'),
(100727, 'English', 'Female'),
(100728, 'Music', 'Female'),
(100729, 'Finance', 'Male'),
(100730, 'Chemistry', 'Male'),
(100731, 'English', 'Female'),
(100732, 'Fine Arts', 'Female'),
(100733, 'Psychology', 'Female'),
(100734, 'Film', 'Male'),
(100735, 'Drama', 'Male'),
(100736, 'Finance', 'Male'),
(100737, 'Accounting', 'Female'),
(100738, 'Accounting', 'Female'),
(100739, 'Film', 'Female'),
(100740, 'Biology', 'Female'),
(100741, 'Fine Arts', 'Male'),
(100742, 'Music', 'Female'),
(100743, 'Drama', 'Male'),
(100744, 'Film', 'Female'),
(100745, 'Physics', 'Male'),
(100746, 'Computer Science', 'Male'),
(100747, 'Film', 'Female'),
(100748, 'Law', 'Female'),
(100749, 'Music', 'Female'),
(100750, 'Chemistry', 'Male'),
(100751, 'Film', 'Male'),
(100752, 'Chemistry', 'Female'),
(100753, 'Math', 'Female'),
(100754, 'Drama', 'Non-binary'),
(100755, 'Drama', 'Female'),
(100756, 'Finance', 'Female'),
(100757, 'Drama', 'Female'),
(100758, 'Music', 'Male'),
(100759, 'Accounting', 'Female'),
(100760, 'Accounting', 'Female'),
(100761, 'Psychology', 'Male'),
(100762, 'Economics', 'Male'),
(100763, 'Physics', 'Female'),
(100764, 'English', 'Male'),
(100765, 'Economics', 'Female'),
(100766, 'Physics', 'Male'),
(100767, 'Accounting', 'Female'),
(100768, 'Math', 'Male'),
(100769, 'Finance', 'Female'),
(100770, 'Music', 'Female'),
(100771, 'Math', 'Male'),
(100772, 'Accounting', 'Female'),
(100773, 'Fine Arts', 'Female'),
(100774, 'History', 'Female'),
(100775, 'Economics', 'Male'),
(100776, 'History', 'Female'),
(100777, 'Film', 'Female'),
(100778, 'Biology', 'Male'),
(100779, 'Drama', 'Female'),
(100780, 'Music', 'Male'),
(100781, 'Law', 'Male'),
(100782, 'Chemistry', 'Male'),
(100783, 'Math', 'Male'),
(100784, 'Math', 'Female'),
(100785, 'Film', 'Female'),
(100786, 'Law', 'Male'),
(100787, 'Fine Arts', 'Female'),
(100788, 'Computer Science', 'Female'),
(100789, 'Chemistry', 'Male'),
(100790, 'Psychology', 'Female'),
(100791, 'Economics', 'Female'),
(100792, 'Music', 'Male'),
(100793, 'Music', 'Female'),
(100794, 'History', 'Male'),
(100795, 'Chemistry', 'Female'),
(100796, 'English', 'Female'),
(100797, 'Physics', 'Male'),
(100798, 'Accounting', 'Female'),
(100799, 'Psychology', 'Male'),
(100800, 'English', 'Male'),
(100801, 'Accounting', 'Male'),
(100802, 'Music', 'Male'),
(100803, 'Law', 'Female'),
(100804, 'Drama', 'Female'),
(100805, 'Accounting', 'Non-binary'),
(100806, 'Drama', 'Female'),
(100807, 'Drama', 'Female'),
(100808, 'Music', 'Male'),
(100809, 'Fine Arts', 'Male'),
(100810, 'Drama', 'Female'),
(100811, 'Computer Science', 'Female'),
(100812, 'Physics', 'Male'),
(100813, 'Music', 'Male'),
(100814, 'Fine Arts', 'Female'),
(100815, 'Film', 'Female'),
(100816, 'Accounting', 'Male'),
(100817, 'Drama', 'Female'),
